Rank,Peak,All Time Peak,Actual gross,Adjusted gross (in 2022 dollars),Artist,Tour title,Shows,Average gross,Start year,End year,Tour duration,Peak_missing,AllTimePeak_missing
1,1,2,780000000.0,780000000.0,TAYLOR SWIFT,The Eras Tour ,56,13928571.0,2023,2024,2,0,0
2,1,7,579800000.0,579800000.0,BEYONCÉ,Renaissance World Tour,56,10353571.0,2023,2023,1,0,0
3,1,2,411000000.0,560622615.0,MADONNA,Sticky  Sweet Tour 4,85,4835294.0,2008,2009,2,0,0
4,2,10,397300000.0,454751555.0,PINK,Beautiful Trauma World Tour,156,2546795.0,2018,2019,2,0,0
5,2,,345675146.0,402844849.0,TAYLOR SWIFT,Reputation Stadium Tour,53,6522173.0,2018,2018,1,0,1
6,2,10,305158363.0,388978496.0,MADONNA,The Mdna Tour,88,3467709.0,2012,2012,1,0,0
7,2,,280000000.0,381932682.0,CELINE DION,Taking Chances World Tour,131,2137405.0,2008,2009,2,0,1
7,,,257600000.0,257600000.0,PINK,Summer Carnival ,41,6282927.0,2023,2024,2,1,1
9,,,256084556.0,312258401.0,BEYONCÉ,The Formation World Tour,49,5226215.0,2016,2016,1,1,1
10,,,250400000.0,309141878.0,TAYLOR SWIFT,The 1989 World Tour,85,2945882.0,2015,2015,1,1,1
11,,,229100000.0,283202896.0,BEYONCÉ,The Mrs Carter Show World Tour,132,1735606.0,2013,2014,2,1,1
12,,14,227400000.0,295301479.0,LADY GAGA,The Monster Ball Tour ,203,1118227.0,2009,2011,3,1,0
13,,,204000000.0,251856802.0,KATY PERRY,Prismatic World Tour,151,1350993.0,2014,2015,2,1,1
14,1,,200000000.0,299676265.0,CHER,Living Proof The Farewell Tour 21,325,615385.0,2002,2005,4,0,1
15,2,,194000000.0,281617035.0,MADONNA,Confessions Tour,60,3233333.0,2006,2006,1,0,1
16,,,184000000.0,227452347.0,PINK,The Truth About Love Tour,142,1295775.0,2013,2014,2,1,1
17,,,170000000.0,213568571.0,LADY GAGA,Born This Way Ball,98,1734694.0,2012,2013,2,1,1
18,,,169800000.0,207046755.0,MADONNA,Rebel Heart Tour,82,2070732.0,2015,2016,2,1,1
19,,,167700000.0,204486106.0,ADELE,Adele Live 2016,121,1385950.0,2016,2017,2,1,1
20,,,150000000.0,185423109.0,TAYLOR SWIFT,The Red Tour,86,1744186.0,2013,2014,2,1,1
