Financial Year,NET OPERATING REVENUES,Cost of goods sold,Gross Profit,"Selling, general and administrative expenses",Other operating charges,Operating Income,Interest income,Interest expense,Equity income (loss) - net,Other income (loss) - net,Income before income taxes,Income taxes,CONSOLIDATED NET INCOME,Less: Net income attributable to noncontrolling interests,Net income from continuing operations,"Income (Loss) from Discontinued Operations, Net of Tax, Including Portion Attributable to Noncontrolling Interest",NET INCOME ATTRIBUTABLE TO SHAREOWNERS OF THE COCA-COLA COMPANY
FY '09,30990,11088,19902,11358,313,8231,249,355,781,40,8946,2040,6906,82,,,6824
FY '10,35119,12693,22426,13194,819,8413,317,733,1025,5185,14207,2370,11837,50,,,11787
FY '11,46542,18215,28327,17422,732,10173,483,417,690,529,11458,2812,8646,62,,,8584
FY '12,48017,19053,28964,17738,447,10779,471,397,819,137,11809,2723,9086,67,,,9019
FY '13,46854,18421,28433,17310,895,10228,534,463,602,576,11477,2851,8626,42,,,8584
FY '14,45998,17889,28109,17218,1183,9708,594,483,769,-1263,9325,2201,7124,26,,,7098
FY '15,44294,17482,26812,16427,1657,8728,613,856,489,631,9605,2239,7366,15,7366,0,7351
FY '16,41863,16465,25398,15262,1510,8626,642,733,835,-1234,8136,1586,6550,23,6550,0,6527
FY '17,35410,13255,22155,12654,1902,7599,677,841,1071,-1764,6742,5560,1283,35,1182,101,1248
FY '18,31856,11770,20086,10307,1079,8700,682,919,1008,-1121,8350,1623,6476,42,6727,-251,6434
