Order_ID,Order_Date,Category,Product_Name,Region,Quantity_Sold,Unit_Price,Total_Sales,Stock_Status
ORD0001,08-09-2023,Fruits,Apple,South,95,160,15200,Available
ORD0002,08-03-2024,Fruits,Mango,North,12,322,3864,Available
ORD0003,08-09-2024,Fruits,Banana,North,30,278,8340,Out of Stock
ORD0004,04-04-2024,Vegetables,Beans,East,54,132,7128,Available
ORD0005,09-06-2023,Vegetables,Carrot,South,44,162,7128,Low Stock
ORD0006,03-01-2024,Fruits,Apple,East,49,69,3381,Out of Stock
ORD0007,03-07-2024,Beverages,Tea,North,94,255,23970,Low Stock
ORD0008,05-10-2024,Fruits,Mango,East,38,444,16872,Out of Stock
ORD0009,22-08-2023,Vegetables,Tomato,East,6,358,2148,Available
ORD0010,09-04-2024,Vegetables,Tomato,East,49,162,7938,Available
ORD0011,01-10-2023,Beverages,Juice,North,27,363,9801,Out of Stock
ORD0012,17-06-2023,Vegetables,Beans,West,94,145,13630,Low Stock
ORD0013,29-11-2023,Beverages,Milkshake,North,29,370,10730,Available
ORD0014,09-03-2023,Fruits,Orange,South,52,157,8164,Out of Stock
ORD0015,10-02-2024,Beverages,Coffee,West,84,275,23100,Available
ORD0016,28-07-2024,Beverages,Coffee,East,32,401,12832,Out of Stock
ORD0017,06-01-2024,Dairy,Yogurt,South,75,224,16800,Available
ORD0018,18-02-2023,Dairy,Yogurt,North,12,406,4872,Available
ORD0019,30-01-2024,Vegetables,Carrot,West,77,52,4004,Out of Stock
ORD0020,12-01-2023,Snacks,Popcorn,North,33,303,9999,Out of Stock
ORD0021,15-12-2023,Dairy,Butter,North,99,348,34452,Low Stock
ORD0022,27-09-2023,Snacks,Cookies,South,59,21,1239,Out of Stock
ORD0023,15-09-2024,Fruits,Orange,South,82,279,22878,Available
ORD0024,27-06-2024,Beverages,Coffee,North,70,418,29260,Out of Stock
ORD0025,07-01-2024,Beverages,Soft Drink,East,3,77,231,Available
ORD0026,29-03-2023,Fruits,Banana,West,73,60,4380,Available
ORD0027,01-05-2024,Dairy,Cheese,South,17,357,6069,Low Stock
ORD0028,06-07-2024,Dairy,Paneer,South,55,128,7040,Out of Stock
ORD0029,18-01-2024,Beverages,Soft Drink,West,86,352,30272,Out of Stock
ORD0030,07-03-2023,Snacks,Chips,East,32,135,4320,Available
ORD0031,14-08-2023,Dairy,Paneer,North,30,321,9630,Available
ORD0032,02-02-2023,Fruits,Banana,East,9,483,4347,Available
ORD0033,12-05-2024,Dairy,Cheese,South,36,362,13032,Out of Stock
ORD0034,06-09-2023,Vegetables,Beans,West,74,262,19388,Low Stock
ORD0035,17-03-2024,Vegetables,Tomato,East,13,357,4641,Low Stock
ORD0036,20-11-2024,Snacks,Nuts,North,94,47,4418,Available
ORD0037,16-07-2023,Snacks,Biscuits,South,14,147,2058,Out of Stock
ORD0038,13-10-2023,Snacks,Cookies,West,55,113,6215,Available
ORD0039,21-02-2023,Fruits,Grapes,North,71,70,4970,Available
ORD0040,07-05-2024,Vegetables,Potato,South,53,268,14204,Low Stock
ORD0041,04-02-2024,Fruits,Banana,East,49,21,1029,Low Stock
ORD0042,23-07-2024,Beverages,Soft Drink,West,90,394,35460,Available
ORD0043,16-08-2024,Vegetables,Onion,North,28,49,1372,Out of Stock
ORD0044,03-05-2024,Beverages,Tea,South,7,319,2233,Available
ORD0045,01-09-2024,Dairy,Milk,North,24,55,1320,Out of Stock
ORD0046,06-08-2024,Vegetables,Carrot,South,16,475,7600,Out of Stock
ORD0047,05-03-2024,Dairy,Milk,East,80,61,4880,Low Stock
ORD0048,10-02-2024,Vegetables,Onion,South,31,155,4805,Out of Stock
ORD0049,16-03-2023,Beverages,Soft Drink,North,41,495,20295,Low Stock
ORD0050,04-07-2024,Dairy,Paneer,South,13,57,741,Out of Stock
ORD0051,12-03-2023,Beverages,Coffee,South,45,471,21195,Low Stock
ORD0052,10-07-2024,Beverages,Coffee,East,57,446,25422,Out of Stock
ORD0053,21-07-2024,Dairy,Milk,East,86,438,37668,Out of Stock
ORD0054,20-04-2023,Fruits,Banana,South,34,79,2686,Low Stock
ORD0055,18-12-2023,Beverages,Milkshake,South,27,387,10449,Out of Stock
ORD0056,22-02-2023,Beverages,Milkshake,North,63,148,9324,Out of Stock
ORD0057,08-12-2023,Snacks,Biscuits,South,6,21,126,Out of Stock
ORD0058,18-07-2024,Beverages,Coffee,West,95,246,23370,Out of Stock
ORD0059,02-06-2023,Fruits,Apple,North,10,472,4720,Low Stock
ORD0060,11-05-2023,Dairy,Paneer,North,19,240,4560,Low Stock
ORD0061,29-11-2024,Beverages,Tea,South,46,127,5842,Out of Stock
ORD0062,21-02-2024,Fruits,Orange,South,100,306,30600,Available
ORD0063,03-07-2023,Vegetables,Potato,East,53,32,1696,Low Stock
ORD0064,21-04-2023,Vegetables,Onion,West,21,423,8883,Available
ORD0065,16-04-2024,Snacks,Cookies,East,26,438,11388,Low Stock
ORD0066,17-07-2023,Vegetables,Potato,West,4,357,1428,Low Stock
ORD0067,26-12-2023,Beverages,Tea,West,99,162,16038,Out of Stock
ORD0068,25-09-2023,Dairy,Butter,South,4,79,316,Out of Stock
ORD0069,20-03-2024,Beverages,Tea,East,14,325,4550,Out of Stock
ORD0070,29-04-2023,Beverages,Soft Drink,West,78,281,21918,Out of Stock
ORD0071,22-03-2024,Vegetables,Onion,North,6,382,2292,Out of Stock
ORD0072,13-03-2023,Dairy,Cheese,East,47,240,11280,Out of Stock
ORD0073,04-11-2023,Beverages,Tea,East,93,480,44640,Out of Stock
ORD0074,30-10-2023,Snacks,Biscuits,South,52,376,19552,Available
ORD0075,28-06-2023,Snacks,Nuts,East,87,403,35061,Low Stock
ORD0076,04-08-2023,Dairy,Milk,West,39,166,6474,Out of Stock
ORD0077,28-03-2024,Dairy,Butter,South,60,246,14760,Out of Stock
ORD0078,18-10-2023,Snacks,Cookies,East,85,63,5355,Available
ORD0079,23-07-2023,Vegetables,Onion,South,29,432,12528,Available
ORD0080,16-03-2023,Fruits,Banana,West,61,332,20252,Low Stock
ORD0081,29-01-2024,Dairy,Cheese,West,92,376,34592,Low Stock
ORD0082,06-01-2023,Vegetables,Potato,North,84,372,31248,Low Stock
ORD0083,20-04-2024,Vegetables,Potato,North,90,285,25650,Out of Stock
ORD0084,20-04-2024,Vegetables,Tomato,East,59,88,5192,Low Stock
ORD0085,15-07-2024,Dairy,Paneer,West,55,445,24475,Available
ORD0086,11-09-2023,Snacks,Nuts,East,34,404,13736,Out of Stock
ORD0087,21-03-2023,Snacks,Cookies,East,36,245,8820,Available
ORD0088,07-07-2024,Beverages,Juice,North,41,477,19557,Available
